Company,Country
Philip Morris International,USA
Land O'Lakes,USA
Gap,USA
Rentokil Initial,UK
London Stock Exchange Group,UK
Vistra,USA
Arthur J. Gallagher,USA
Conagra Brands,USA
Cigna Group,USA
Group 1 Automotive,USA
Southwestern Energy,USA
Ross Stores,USA
Petronet LNG,India
Wayfair,USA
General Mills,USA
Oneok,USA
Nordstrom,USA
World Fuel Services,USA
Kroger,USA
AutoNation,USA
CHS,USA
Dollar General,USA
Reynolds American Inc.,USA
Carrier Global,USA
AGCO,USA
Air Products & Chemicals,USA
National Grid,UK
Alphabet,USA
Leidos Holdings,USA
Tata Motors,India
Sonic Automotive,USA
Bosch Limited,India
VF,USA
Enterprise Products Partners,USA
St. James's Place plc,UK
Sirius XM Holdings Inc.,USA
Cisco Systems,USA
Univar Solutions,USA
Ulta Beauty,USA
Seaboard,USA
Whitbread plc,UK
XPO,USA
Evolution Mining,Australia
Toll Brothers,USA
Eaton Corporation plc,Ireland
China Southern Airlines,China
Mosaic,USA
Fannie Mae,USA
Danaher,USA
Assurant,USA
Suncorp Group,Australia
AECOM,USA
NMDC Limited,India
Divi's Laboratories,India
Glenmark Pharmaceuticals,India
Electrocomponents,UK
AbbVie,USA
Page Industries,India
Symrise AG,Germany
Masco,USA
Altria Group,USA
Metro AG,Germany
Deutsche Bank AG,Germany
Geely Automobile Holdings,China
Larsen & Toubro Infotech,India
Macquarie Group,Australia
Avery Dennison,USA
Charter Communications,USA
Deutsche Lufthansa AG,Germany
Sonoco Products,USA
"Workday, Inc.",USA
Origin Energy,Australia
Coca-Cola,USA
Par Pacific Holdings,USA
Mindtree Limited,India
3i Group,UK
Admiral Group,UK
Honeywell International,USA
Marathon Petroleum,USA
Taylor Wimpey,UK
HF Sinclair,USA
Ocado Group,UK
PI Industries,India
B&M,UK
Arrow Electronics,USA
Kohl's,USA
BYD Company,China
Lowe's,USA
International Paper,USA
Mondelez International,USA
UnitedHealth Group,USA
DaVita,USA
Bandhan Bank,India
Altice USA,USA
Westpac Banking Corporation,Australia
Bajaj Finance,India
Nvidia,USA
L&T Finance Holdings,India
Fox,USA
Liberty Media,USA
AutoZone,USA
Best Buy,USA
Graphic Packaging Holding,USA
Midea Group,China
Berkeley Group Holdings,UK
Johnson & Johnson,USA
Amgen,USA
Valero Energy,USA
Emerson Electric,USA
Lockheed Martin,USA
Broadcom,USA
JD Wetherspoon,UK
Pfizer Inc.,USA
Albertsons,USA
Nike,USA
Eastman Chemical,USA
Asbury Automotive Group,USA
Barratt Developments,UK
"Harley-Davidson, Inc.",USA
Activision Blizzard,USA
NetEase,China
Ally Financial,USA
China National Chemical Corporation (ChemChina),China
Cintas,USA
Downer Group,Australia
Daimler AG (now known as Mercedes-Benz AG),Germany
UFP Industries,USA
Ball,USA
DCC plc,Ireland
Coterra Energy,USA
PepsiCo,USA
Haier Group,China
Fidelity National Information Services,USA
Xiaomi Corporation,China
Incitec Pivot,Australia
Lithia Motors,USA
Merck,USA
Cardinal Health,USA
JetBlue Airways,USA
Morgan Stanley,USA
Continental AG,Germany
Sainsbury's,UK
Ameren,USA
Reinsurance Group of America,USA
WHSmith,UK
Sinopharm Group,China
Axis Bank,India
